,Angle,Intensity,class,pos,sample,search
305,110.8145,160.10075,Ag2Se,18663,11,max
306,115.6745,0.00346,Ag2Se,19635,11,min
307,120.3945,91.75435999999999,Ag2Se,20579,11,max
308,125.3195,0.00292,Ag2Se,21564,11,min
309,131.0345,83.43204,Ag2Se,22707,11,max
310,153.5895,0.0,Ag2Se,27218,11,min
311,17.72479,0.0,Ag2Se,0,12,min
312,32.11479,1000.0,Ag2Se,2878,12,max
313,38.90979,0.0016699999999999998,Ag2Se,4237,12,min
314,46.054790000000004,695.53927,Ag2Se,5666,12,max
315,52.029790000000006,0.00186,Ag2Se,6861,12,min
316,57.25479,281.13534,Ag2Se,7906,12,max
317,62.60479,0.00124,Ag2Se,8976,12,min
318,67.17479,121.2568,Ag2Se,9890,12,max
319,70.65479,0.00215,Ag2Se,10586,12,min
320,76.41479,372.89927,Ag2Se,11738,12,max
321,80.91979,0.0037700000000000003,Ag2Se,12639,12,min
322,85.30479,240.2905,Ag2Se,13516,12,max
323,94.59479,0.00037999999999999997,Ag2Se,15374,12,min
324,102.95479,69.50501,Ag2Se,17046,12,max
325,106.67979,0.0025800000000000003,Ag2Se,17791,12,min
326,112.15978999999999,153.20238999999998,Ag2Se,18887,12,max
327,117.18978999999999,0.00328,Ag2Se,19893,12,min
328,122.01978999999999,87.70040999999999,Ag2Se,20859,12,max
329,127.14979,0.00277,Ag2Se,21885,12,min
330,133.09978999999998,79.74931,Ag2Se,23075,12,max
331,156.63978999999998,0.00025,Ag2Se,27783,12,min
332,12.56343,0.00033,Ag2Se,0,13,min
333,22.558429999999998,1000.0,Ag2Se,1999,13,max
334,27.773429999999998,0.0022,Ag2Se,3042,13,min
335,32.11343,422.24164,Ag2Se,3910,13,max
336,37.03843,0.0007599999999999999,Ag2Se,4895,13,min
337,51.86843,231.62661,Ag2Se,7861,13,max
338,55.068430000000006,0.0023899999999999998,Ag2Se,8501,13,min
339,57.25343,59.99533,Ag2Se,8938,13,max
340,59.813430000000004,0.00124,Ag2Se,9450,13,min
341,67.17343000000001,202.37637,Ag2Se,10922,13,max
342,69.56843,0.0063100000000000005,Ag2Se,11401,13,min
343,71.85843,138.07571000000002,Ag2Se,11859,13,max
344,74.01343,0.00662,Ag2Se,12290,13,min
345,76.41343,164.66408,Ag2Se,12770,13,max
346,82.89843,0.0007599999999999999,Ag2Se,14067,13,min
347,89.69343,146.02039,Ag2Se,15426,13,max
348,95.94343,0.00091,Ag2Se,16676,13,min
349,102.95343000000001,117.65154,Ag2Se,18078,13,max
350,105.40343,0.00797,Ag2Se,18568,13,min
351,107.49843,57.67203000000001,Ag2Se,18987,13,max
352,109.68843000000001,0.006840000000000001,Ag2Se,19425,13,min
353,112.15843000000001,67.97565,Ag2Se,19919,13,max
354,119.26843000000001,0.00059,Ag2Se,21341,13,min
355,127.35343,37.02539,Ag2Se,22958,13,max
356,137.13843,0.0013599999999999999,Ag2Se,24915,13,min
357,146.74843,33.0558,Ag2Se,26837,13,max
358,156.71843,0.00042,Ag2Se,28831,13,min
359,12.56343,0.00033,Ag2Se,0,14,min
360,22.558429999999998,1000.0,Ag2Se,1999,14,max
361,27.773429999999998,0.0022,Ag2Se,3042,14,min
362,32.11343,422.24164,Ag2Se,3910,14,max
363,37.03843,0.0007599999999999999,Ag2Se,4895,14,min
364,51.86843,231.62661,Ag2Se,7861,14,max
365,55.068430000000006,0.0023899999999999998,Ag2Se,8501,14,min
366,57.25343,59.99533,Ag2Se,8938,14,max
367,59.813430000000004,0.00124,Ag2Se,9450,14,min
368,67.17343000000001,202.37637,Ag2Se,10922,14,max
369,69.56843,0.0063100000000000005,Ag2Se,11401,14,min
370,71.85843,138.07571000000002,Ag2Se,11859,14,max
371,74.01343,0.00662,Ag2Se,12290,14,min
372,76.41343,164.66408,Ag2Se,12770,14,max
373,82.89843,0.0007599999999999999,Ag2Se,14067,14,min
374,89.69343,146.02039,Ag2Se,15426,14,max
375,95.94343,0.00091,Ag2Se,16676,14,min
376,102.95343000000001,117.65154,Ag2Se,18078,14,max
377,105.40343,0.00797,Ag2Se,18568,14,min
378,107.49843,57.67203000000001,Ag2Se,18987,14,max
379,109.68843000000001,0.006840000000000001,Ag2Se,19425,14,min
380,112.15843000000001,67.97565,Ag2Se,19919,14,max
381,119.26843000000001,0.00059,Ag2Se,21341,14,min
382,127.35343,37.02539,Ag2Se,22958,14,max
383,137.13843,0.0013599999999999999,Ag2Se,24915,14,min
384,146.74843,33.0558,Ag2Se,26837,14,max
385,156.71843,0.00042,Ag2Se,28831,14,min
386,12.75343,-6.99965,Ag2Se,38,15,min
