2q (degree),Normalized Intensity (a.u)
18.2454,0.12295
18.2504,0.11409
18.2554,0.10958
18.2604,0.11133
18.2654,0.11523
18.2704,0.1149
18.2754,0.11817
18.2804,0.11274
18.2854,0.11047
18.2904,0.11137
18.2954,0.1165
18.3004,0.1123
18.3054,0.11723
18.3104,0.11323
18.3154,0.11389
18.3204,0.11698
18.3254,0.11344
18.3304,0.1191
18.3354,0.12341
18.3404,0.11618
18.3454,0.1093
18.3504,0.11247
18.3554,0.10445
18.3604,0.1092
18.3654,0.10668
18.3704,0.11542
18.3754,0.11594
18.3804,0.11278
18.3854,0.11836
18.3904,0.12037
18.3954,0.11608
18.4004,0.10621
18.4054,0.11058
18.4104,0.11593
18.4154,0.11593
18.4204,0.1235
18.4254,0.10879
18.4304,0.10832
18.4354,0.1124
18.4404,0.11644
18.4454,0.11127
18.4504,0.11872
18.4554,0.11962
18.4604,0.11338
18.4654,0.11265
18.4704,0.11854
18.4754,0.118
18.4804,0.1092
18.4854,0.11139
18.4904,0.11619
18.4954,0.12061
18.5004,0.11691
18.5054,0.12547
18.5104,0.11484
18.5154,0.11564
18.5204,0.12006
18.5254,0.1117
18.5304,0.11971
18.5354,0.11123
18.5404,0.10997
18.5454,0.11306
18.5504,0.12005
18.5554,0.11836
18.5604,0.11102
18.5654,0.12162
18.5704,0.11636
18.5754,0.115
18.5804,0.11302
18.5854,0.1194
18.5904,0.11792
18.5954,0.12302
18.6004,0.11467
18.6054,0.12302
18.6104,0.11563
18.6154,0.11493
18.6204,0.11293
18.6254,0.12063
18.6304,0.11204
18.6354,0.11136
18.6404,0.11456
18.6454,0.11105
18.6504,0.1082
18.6554,0.11897
18.6604,0.10986
18.6654,0.11263
18.6704,0.11293
18.6754,0.123
18.6804,0.1102
18.6854,0.10484
18.6904,0.11602
18.6954,0.11471
18.7004,0.11153
18.7054,0.1095
18.7104,0.10905
18.7154,0.11271
18.7204,0.12043
18.7254,0.11838
18.7304,0.11884
18.7354,0.11992
18.7404,0.12157
18.7454,0.11463
18.7504,0.10864
18.7554,0.11335
18.7604,0.12132
18.7654,0.11864
18.7704,0.11276
18.7754,0.11355
18.7804,0.11334
18.7854,0.11348
18.7904,0.11522
18.7954,0.11843
18.8004,0.11289
18.8054,0.11894
18.8104,0.11684
18.8154,0.11685
18.8204,0.10985
18.8254,0.11393
18.8304,0.11709
18.8354,0.11796
18.8404,0.12009
18.8454,0.11688
18.8504,0.11828
18.8554,0.12112
18.8604,0.11474
18.8654,0.11483
18.8704,0.1142
18.8754,0.12283
18.8804,0.11218
18.8854,0.11141
18.8904,0.10772
18.8954,0.11798
18.9004,0.11028
18.9054,0.11586
18.9104,0.11334
18.9154,0.11943
18.9204,0.12008
18.9254,0.12202
18.9304,0.11309
18.9354,0.1142
18.9404,0.11709
18.9454,0.11321
18.9504,0.11326
18.9554,0.1217
18.9604,0.11413
18.9654,0.11375
18.9704,0.11965
18.9754,0.11143
18.9804,0.11269
18.9854,0.1084
18.9904,0.11528
18.9954,0.11279
19.0004,0.11228
19.0054,0.12082
19.0104,0.11519
19.0154,0.11993
19.0204,0.11398
19.0254,0.11118
19.0304,0.11225
19.0354,0.12243
19.0404,0.11723
19.0454,0.1164
19.0504,0.10964
19.0554,0.11169
19.0604,0.10983
19.0654,0.11137
19.0704,0.1091
19.0754,0.11192
19.0804,0.10937
19.0854,0.10566
19.0904,0.11709
19.0954,0.11453
19.1004,0.11038
19.1054,0.11604
19.1104,0.11762
19.1154,0.11561
19.1204,0.12003
19.1254,0.11219
19.1304,0.11327
19.1354,0.10879
19.1404,0.11514
19.1454,0.1119
19.1504,0.11336
19.1554,0.11177
19.1604,0.11155
19.1654,0.11104
19.1704,0.11864
19.1754,0.11466
19.1804,0.11311
19.1854,0.1142
19.1904,0.12126
19.1954,0.11424
19.2004,0.10529
19.2054,0.11512
19.2104,0.11327
19.2154,0.11534
19.2204,0.12705
19.2254,0.12041
19.2304,0.11408
19.2354,0.11386
19.2404,0.11326
19.2454,0.11845
19.2504,0.1153
19.2554,0.11269
19.2604,0.1173
19.2654,0.11521
19.2704,0.11711
19.2754,0.11218
19.2804,0.1149
19.2854,0.1167
19.2904,0.11377
19.2954,0.11641
19.3004,0.11146
19.3054,0.11953
19.3104,0.12407
19.3154,0.11477
19.3204,0.11531
19.3254,0.10664
19.3304,0.09992
19.3354,0.11514
19.3404,0.12417
19.3454,0.11676
19.3504,0.11623
19.3554,0.11597
19.3604,0.11486
19.3654,0.11096
19.3704,0.11389
19.3754,0.11834
19.3804,0.11578
19.3854,0.11059
19.3904,0.11427
19.3954,0.11277
19.4004,0.11797
19.4054,0.1164
19.4104,0.11645
19.4154,0.11447
19.4204,0.10838
19.4254,0.11124
19.4304,0.11907
19.4354,0.11898
19.4404,0.12139
19.4454,0.11987
19.4504,0.11633
19.4554,0.11923
19.4604,0.12326
19.4654,0.1139
19.4704,0.11511
19.4754,0.11976
19.4804,0.11027
19.4854,0.11272
19.4904,0.11431
19.4954,0.11291
19.5004,0.10787
19.5054,0.11501
19.5104,0.11749
19.5154,0.12229
19.5204,0.12113
19.5254,0.11985
19.5304,0.11273
19.5354,0.12094
19.5404,0.11934
19.5454,0.12415
19.5504,0.12553
19.5554,0.12158
19.5604,0.11823
19.5654,0.11833
19.5704,0.11739
19.5754,0.11336
19.5804,0.11464
19.5854,0.11476
19.5904,0.11891
19.5954,0.1202
